"","short","long","gold","silver","bronze","total","long2","yr"
"1529","CAN","Canada","3","2","5","10","Canada","seoul-1988"
"1530","POL","Poland","2","5","9","16","Poland","seoul-1988"
"1531","NOR","Norway","2","3","-","5","Norway","seoul-1988"
"1532","NED","Netherlands","2","2","5","9","Netherlands","seoul-1988"
"1533","DEN","Denmark","2","1","1","4","Denmark","seoul-1988"
"1534","BRA","Brazil","1","2","3","6","Brazil","seoul-1988"
"1535","ESP","Spain","1","1","2","4","Spain","seoul-1988"
"1536","FIN","Finland","1","1","2","4","Finland","seoul-1988"
"1537","TUR","Turkey","1","1","-","2","Turkey","seoul-1988"
"1538","MAR","Morocco","1","-","2","3","Morocco","seoul-1988"
"1539","SUR","Suriname","1","-","-","1","Suriname","seoul-1988"
"1540","POR","Portugal","1","-","-","1","Portugal","seoul-1988"
"1541","AUT","Austria","1","-","-","1","Austria","seoul-1988"
"1542","SWE","Sweden","-","4","7","11","Sweden","seoul-1988"
"1543","SUI","Switzerland","-","2","2","4","Switzerland","seoul-1988"
"1544","JAM","Jamaica","-","2","-","2","Jamaica","seoul-1988"
"1545","ARG","Argentina","-","1","1","2","Argentina","seoul-1988"
"1546","PER","Peru","-","1","-","1","Peru","seoul-1988"
"1547","ISV","US Virgin Islands","-","1","-","1","US Virgin Islands","seoul-1988"
"1548","SEN","Senegal","-","1","-","1","Senegal","seoul-1988"
"1549","INA","Indonesia","-","1","-","1","Indonesia","seoul-1988"
"1550","CRC","Costa Rica","-","1","-","1","Costa Rica","seoul-1988"
"1551","IRI","Islamic Republic of Iran","-","1","-","1","Islamic Republic of Iran","seoul-1988"
"1552","AHO","Netherlands Antilles","-","1","-","1","Netherlands Antilles","seoul-1988"
"1553","CHI","Chile","-","1","-","1","Chile","seoul-1988"
"1554","MEX","Mexico","-","-","2","2","Mexico","seoul-1988"
"1555","BEL","Belgium","-","-","2","2","Belgium","seoul-1988"
"1556","MGL","Mongolia","-","-","1","1","Mongolia","seoul-1988"
"1557","PHI","Philippines","-","-","1","1","Philippines","seoul-1988"
"1558","GRE","Greece","-","-","1","1","Greece","seoul-1988"
"1559","THA","Thailand","-","-","1","1","Thailand","seoul-1988"
"1560","COL","Colombia","-","-","1","1","Colombia","seoul-1988"
"1561","DJI","Djibouti","-","-","1","1","Djibouti","seoul-1988"
"1562","PAK","Pakistan","-","-","1","1","Pakistan","seoul-1988"
"1563","URS","Soviet Union","55","31","46","132","Soviet Union","seoul-1988"
"1564","GDR","German Democratic Republic (Germany)","37","35","30","102","German Democratic Republic (Germany)","seoul-1988"
"1565","USA","United States of America","36","31","27","94","United States of America","seoul-1988"
"1566","KOR","Republic of Korea","12","10","11","33","Republic of Korea","seoul-1988"
"1567","FRG","Federal Republic of Germany","11","14","15","40","Federal Republic of Germany","seoul-1988"
"1568","HUN","Hungary","11","6","6","23","Hungary","seoul-1988"
"1569","BUL","Bulgaria","10","12","13","35","Bulgaria","seoul-1988"
"1570","ROU","Romania","7","11","6","24","Romania","seoul-1988"
"1571","FRA","France","6","4","6","16","France","seoul-1988"
"1572","ITA","Italy","6","4","4","14","Italy","seoul-1988"
"1573","CHN","People's Republic of China","5","11","12","28","People's Republic of China","seoul-1988"
"1574","GBR","Great Britain","5","10","9","24","Great Britain","seoul-1988"
"1575","KEN","Kenya","5","2","2","9","Kenya","seoul-1988"
"1576","JPN","Japan","4","3","7","14","Japan","seoul-1988"
"1577","AUS","Australia","3","6","5","14","Australia","seoul-1988"
"1578","YUG","Yugoslavia","3","4","5","12","Yugoslavia","seoul-1988"
"1579","TCH","Czechoslovakia","3","3","2","8","Czechoslovakia","seoul-1988"
"1580","NZL","New Zealand","3","2","8","13","New Zealand","seoul-1988"
"1581","CAN","Canada","3","2","5","10","Canada","seoul-1988"
"1582","POL","Poland","2","5","9","16","Poland","seoul-1988"
"1583","NOR","Norway","2","3","-","5","Norway","seoul-1988"
"1584","NED","Netherlands","2","2","5","9","Netherlands","seoul-1988"
"1585","DEN","Denmark","2","1","1","4","Denmark","seoul-1988"
"1586","BRA","Brazil","1","2","3","6","Brazil","seoul-1988"
"1587","ESP","Spain","1","1","2","4","Spain","seoul-1988"
"1588","FIN","Finland","1","1","2","4","Finland","seoul-1988"
"1589","TUR","Turkey","1","1","-","2","Turkey","seoul-1988"
"1590","MAR","Morocco","1","-","2","3","Morocco","seoul-1988"
"1591","SUR","Suriname","1","-","-","1","Suriname","seoul-1988"
"1592","POR","Portugal","1","-","-","1","Portugal","seoul-1988"
"1593","AUT","Austria","1","-","-","1","Austria","seoul-1988"
"1594","SWE","Sweden","-","4","7","11","Sweden","seoul-1988"
"1595","SUI","Switzerland","-","2","2","4","Switzerland","seoul-1988"
"1596","JAM","Jamaica","-","2","-","2","Jamaica","seoul-1988"
"1597","ARG","Argentina","-","1","1","2","Argentina","seoul-1988"
"1598","PER","Peru","-","1","-","1","Peru","seoul-1988"
"1599","ISV","US Virgin Islands","-","1","-","1","US Virgin Islands","seoul-1988"
"1600","SEN","Senegal","-","1","-","1","Senegal","seoul-1988"
"1601","INA","Indonesia","-","1","-","1","Indonesia","seoul-1988"
"1602","CRC","Costa Rica","-","1","-","1","Costa Rica","seoul-1988"
"1603","IRI","Islamic Republic of Iran","-","1","-","1","Islamic Republic of Iran","seoul-1988"
"1604","AHO","Netherlands Antilles","-","1","-","1","Netherlands Antilles","seoul-1988"
"1605","CHI","Chile","-","1","-","1","Chile","seoul-1988"
"1606","MEX","Mexico","-","-","2","2","Mexico","seoul-1988"
"1607","BEL","Belgium","-","-","2","2","Belgium","seoul-1988"
"1608","MGL","Mongolia","-","-","1","1","Mongolia","seoul-1988"
"1609","PHI","Philippines","-","-","1","1","Philippines","seoul-1988"
"1610","GRE","Greece","-","-","1","1","Greece","seoul-1988"
"1611","THA","Thailand","-","-","1","1","Thailand","seoul-1988"
"1612","COL","Colombia","-","-","1","1","Colombia","seoul-1988"
"1613","DJI","Djibouti","-","-","1","1","Djibouti","seoul-1988"
"1614","PAK","Pakistan","-","-","1","1","Pakistan","seoul-1988"
"1615","GDR","German Democratic Republic (Germany)","9","9","6","24","German Democratic Republic (Germany)","sarajevo-1984"
"1616","URS","Soviet Union","6","10","9","25","Soviet Union","sarajevo-1984"
"1617","USA","United States of America","4","4","-","8","United States of America","sarajevo-1984"
"1618","FIN","Finland","4","3","6","13","Finland","sarajevo-1984"
"1619","SWE","Sweden","4","2","2","8","Sweden","sarajevo-1984"
"1620","NOR","Norway","3","2","4","9","Norway","sarajevo-1984"
"1621","SUI","Switzerland","2","2","1","5","Switzerland","sarajevo-1984"
"1622","FRG","Federal Republic of Germany","2","1","1","4","Federal Republic of Germany","sarajevo-1984"
"1623","CAN","Canada","2","1","1","4","Canada","sarajevo-1984"
"1624","ITA","Italy","2","-","-","2","Italy","sarajevo-1984"
"1625","GBR","Great Britain","1","-","-","1","Great Britain","sarajevo-1984"
"1626","TCH","Czechoslovakia","-","2","4","6","Czechoslovakia","sarajevo-1984"
"1627","FRA","France","-","1","2","3","France","sarajevo-1984"
"1628","YUG","Yugoslavia","-","1","-","1","Yugoslavia","sarajevo-1984"
"1629","JPN","Japan","-","1","-","1","Japan","sarajevo-1984"
"1630","LIE","Liechtenstein","-","-","2","2","Liechtenstein","sarajevo-1984"
"1631","AUT","Austria","-","-","1","1","Austria","sarajevo-1984"
"1632","GDR","German Democratic Republic (Germany)","9","9","6","24","German Democratic Republic (Germany)","sarajevo-1984"
"1633","URS","Soviet Union","6","10","9","25","Soviet Union","sarajevo-1984"
"1634","USA","United States of America","4","4","-","8","United States of America","sarajevo-1984"
"1635","FIN","Finland","4","3","6","13","Finland","sarajevo-1984"
"1636","SWE","Sweden","4","2","2","8","Sweden","sarajevo-1984"
"1637","NOR","Norway","3","2","4","9","Norway","sarajevo-1984"
"1638","SUI","Switzerland","2","2","1","5","Switzerland","sarajevo-1984"
"1639","FRG","Federal Republic of Germany","2","1","1","4","Federal Republic of Germany","sarajevo-1984"
"1640","CAN","Canada","2","1","1","4","Canada","sarajevo-1984"
"1641","ITA","Italy","2","-","-","2","Italy","sarajevo-1984"
"1642","GBR","Great Britain","1","-","-","1","Great Britain","sarajevo-1984"
"1643","TCH","Czechoslovakia","-","2","4","6","Czechoslovakia","sarajevo-1984"
"1644","FRA","France","-","1","2","3","France","sarajevo-1984"
"1645","YUG","Yugoslavia","-","1","-","1","Yugoslavia","sarajevo-1984"
"1646","JPN","Japan","-","1","-","1","Japan","sarajevo-1984"
"1647","LIE","Liechtenstein","-","-","2","2","Liechtenstein","sarajevo-1984"
"1648","AUT","Austria","-","-","1","1","Austria","sarajevo-1984"
"1649","USA","United States of America","83","61","30","174","United States of America","los-angeles-1984"
"1650","ROU","Romania","20","16","17","53","Romania","los-angeles-1984"
"1651","FRG","Federal Republic of Germany","17","19","23","59","Federal Republic of Germany","los-angeles-1984"
"1652","CHN","People's Republic of China","15","8","9","32","People's Republic of China","los-angeles-1984"
"1653","ITA","Italy","14","6","12","32","Italy","los-angeles-1984"
"1654","CAN","Canada","10","18","16","44","Canada","los-angeles-1984"
"1655","JPN","Japan","10","8","14","32","Japan","los-angeles-1984"
"1656","NZL","New Zealand","8","1","2","11","New Zealand","los-angeles-1984"
"1657","YUG","Yugoslavia","7","4","7","18","Yugoslavia","los-angeles-1984"
"1658","KOR","Republic of Korea","6","6","7","19","Republic of Korea","los-angeles-1984"
"1659","GBR","Great Britain","5","11","21","37","Great Britain","los-angeles-1984"
"1660","FRA","France","5","7","16","28","France","los-angeles-1984"
"1661","NED","Netherlands","5","2","6","13","Netherlands","los-angeles-1984"
"1662","AUS","Australia","4","8","12","24","Australia","los-angeles-1984"
"1663","FIN","Finland","4","2","6","12","Finland","los-angeles-1984"
"1664","SWE","Sweden","2","11","6","19","Sweden","los-angeles-1984"
"1665","MEX","Mexico","2","3","1","6","Mexico","los-angeles-1984"
"1666","MAR","Morocco","2","-","-","2","Morocco","los-angeles-1984"
"1667","BRA","Brazil","1","5","2","8","Brazil","los-angeles-1984"
"1668","ESP","Spain","1","2","2","5","Spain","los-angeles-1984"
"1669","BEL","Belgium","1","1","2","4","Belgium","los-angeles-1984"
"1670","AUT","Austria","1","1","1","3","Austria","los-angeles-1984"
"1671","POR","Portugal","1","-","2","3","Portugal","los-angeles-1984"
"1672","KEN","Kenya","1","-","2","3","Kenya","los-angeles-1984"
"1673","PAK","Pakistan","1","-","-","1","Pakistan","los-angeles-1984"
"1674","SUI","Switzerland","-","4","4","8","Switzerland","los-angeles-1984"
"1675","DEN","Denmark","-","3","3","6","Denmark","los-angeles-1984"
"1676","NOR","Norway","-","1","2","3","Norway","los-angeles-1984"
"1677","JAM","Jamaica","-","1","2","3","Jamaica","los-angeles-1984"
"1678","PUR","Puerto Rico","-","1","1","2","Puerto Rico","los-angeles-1984"
"1679","GRE","Greece","-","1","1","2","Greece","los-angeles-1984"
"1680","NGR","Nigeria","-","1","1","2","Nigeria","los-angeles-1984"
"1681","EGY","Egypt","-","1","-","1","Egypt","los-angeles-1984"
"1682","THA","Thailand","-","1","-","1","Thailand","los-angeles-1984"
"1683","COL","Colombia","-","1","-","1","Colombia","los-angeles-1984"
"1684","PER","Peru","-","1","-","1","Peru","los-angeles-1984"
"1685","IRL","Ireland","-","1","-","1","Ireland","los-angeles-1984"
"1686","SYR","Syrian Arab Republic","-","1","-","1","Syrian Arab Republic","los-angeles-1984"
"1687","CIV","Ivory Coast","-","1","-","1","Ivory Coast","los-angeles-1984"
"1688","TUR","Turkey","-","-","3","3","Turkey","los-angeles-1984"
"1689","VEN","Venezuela","-","-","3","3","Venezuela","los-angeles-1984"
"1690","ALG","Algeria","-","-","2","2","Algeria","los-angeles-1984"
"1691","ISL","Iceland","-","-","1","1","Iceland","los-angeles-1984"
"1692","TPE","Chinese Taipei","-","-","1","1","Chinese Taipei","los-angeles-1984"
"1693","DOM","Dominican Republic","-","-","1","1","Dominican Republic","los-angeles-1984"
"1694","ZAM","Zambia","-","-","1","1","Zambia","los-angeles-1984"
"1695","CMR","Cameroon","-","-","1","1","Cameroon","los-angeles-1984"
"1696","USA","United States of America","83","61","30","174","United States of America","los-angeles-1984"
"1697","ROU","Romania","20","16","17","53","Romania","los-angeles-1984"
"1698","FRG","Federal Republic of Germany","17","19","23","59","Federal Republic of Germany","los-angeles-1984"
"1699","CHN","People's Republic of China","15","8","9","32","People's Republic of China","los-angeles-1984"
"1700","ITA","Italy","14","6","12","32","Italy","los-angeles-1984"
"1701","CAN","Canada","10","18","16","44","Canada","los-angeles-1984"
"1702","JPN","Japan","10","8","14","32","Japan","los-angeles-1984"
"1703","NZL","New Zealand","8","1","2","11","New Zealand","los-angeles-1984"
"1704","YUG","Yugoslavia","7","4","7","18","Yugoslavia","los-angeles-1984"
"1705","KOR","Republic of Korea","6","6","7","19","Republic of Korea","los-angeles-1984"
"1706","GBR","Great Britain","5","11","21","37","Great Britain","los-angeles-1984"
"1707","FRA","France","5","7","16","28","France","los-angeles-1984"
"1708","NED","Netherlands","5","2","6","13","Netherlands","los-angeles-1984"
"1709","AUS","Australia","4","8","12","24","Australia","los-angeles-1984"
"1710","FIN","Finland","4","2","6","12","Finland","los-angeles-1984"
"1711","SWE","Sweden","2","11","6","19","Sweden","los-angeles-1984"
"1712","MEX","Mexico","2","3","1","6","Mexico","los-angeles-1984"
"1713","MAR","Morocco","2","-","-","2","Morocco","los-angeles-1984"
"1714","BRA","Brazil","1","5","2","8","Brazil","los-angeles-1984"
"1715","ESP","Spain","1","2","2","5","Spain","los-angeles-1984"
"1716","BEL","Belgium","1","1","2","4","Belgium","los-angeles-1984"
"1717","AUT","Austria","1","1","1","3","Austria","los-angeles-1984"
"1718","POR","Portugal","1","-","2","3","Portugal","los-angeles-1984"
"1719","KEN","Kenya","1","-","2","3","Kenya","los-angeles-1984"
"1720","PAK","Pakistan","1","-","-","1","Pakistan","los-angeles-1984"
"1721","SUI","Switzerland","-","4","4","8","Switzerland","los-angeles-1984"
"1722","DEN","Denmark","-","3","3","6","Denmark","los-angeles-1984"
"1723","NOR","Norway","-","1","2","3","Norway","los-angeles-1984"
"1724","JAM","Jamaica","-","1","2","3","Jamaica","los-angeles-1984"
"1725","PUR","Puerto Rico","-","1","1","2","Puerto Rico","los-angeles-1984"
"1726","GRE","Greece","-","1","1","2","Greece","los-angeles-1984"
"1727","NGR","Nigeria","-","1","1","2","Nigeria","los-angeles-1984"
"1728","EGY","Egypt","-","1","-","1","Egypt","los-angeles-1984"
"1729","THA","Thailand","-","1","-","1","Thailand","los-angeles-1984"
"1730","COL","Colombia","-","1","-","1","Colombia","los-angeles-1984"
"1731","PER","Peru","-","1","-","1","Peru","los-angeles-1984"
"1732","IRL","Ireland","-","1","-","1","Ireland","los-angeles-1984"
"1733","SYR","Syrian Arab Republic","-","1","-","1","Syrian Arab Republic","los-angeles-1984"
"1734","CIV","Ivory Coast","-","1","-","1","Ivory Coast","los-angeles-1984"
"1735","TUR","Turkey","-","-","3","3","Turkey","los-angeles-1984"
"1736","VEN","Venezuela","-","-","3","3","Venezuela","los-angeles-1984"
"1737","ALG","Algeria","-","-","2","2","Algeria","los-angeles-1984"
"1738","ISL","Iceland","-","-","1","1","Iceland","los-angeles-1984"
"1739","TPE","Chinese Taipei","-","-","1","1","Chinese Taipei","los-angeles-1984"
"1740","DOM","Dominican Republic","-","-","1","1","Dominican Republic","los-angeles-1984"
"1741","ZAM","Zambia","-","-","1","1","Zambia","los-angeles-1984"
"1742","CMR","Cameroon","-","-","1","1","Cameroon","los-angeles-1984"
"1743","URS","Soviet Union","10","6","6","22","Soviet Union","lake-placid-1980"
"1744","GDR","German Democratic Republic (Germany)","9","7","7","23","German Democratic Republic (Germany)","lake-placid-1980"
"1745","USA","United States of America","6","4","2","12","United States of America","lake-placid-1980"
"1746","AUT","Austria","3","2","2","7","Austria","lake-placid-1980"
"1747","SWE","Sweden","3","-","1","4","Sweden","lake-placid-1980"
"1748","LIE","Liechtenstein","2","2","-","4","Liechtenstein","lake-placid-1980"
"1749","FIN","Finland","1","5","3","9","Finland","lake-placid-1980"
"1750","NOR","Norway","1","3","6","10","Norway","lake-placid-1980"
"1751","NED","Netherlands","1","2","1","4","Netherlands","lake-placid-1980"
"1752","SUI","Switzerland","1","1","3","5","Switzerland","lake-placid-1980"
"1753","GBR","Great Britain","1","-","-","1","Great Britain","lake-placid-1980"
"1754","FRG","Federal Republic of Germany","-","2","3","5","Federal Republic of Germany","lake-placid-1980"
"1755","ITA","Italy","-","2","-","2","Italy","lake-placid-1980"
"1756","CAN","Canada","-","1","1","2","Canada","lake-placid-1980"
"1757","HUN","Hungary","-","1","-","1","Hungary","lake-placid-1980"
"1758","JPN","Japan","-","1","-","1","Japan","lake-placid-1980"
"1759","FRA","France","-","-","1","1","France","lake-placid-1980"
"1760","TCH","Czechoslovakia","-","-","1","1","Czechoslovakia","lake-placid-1980"
"1761","BUL","Bulgaria","-","-","1","1","Bulgaria","lake-placid-1980"
"1762","URS","Soviet Union","10","6","6","22","Soviet Union","lake-placid-1980"
"1763","GDR","German Democratic Republic (Germany)","9","7","7","23","German Democratic Republic (Germany)","lake-placid-1980"
"1764","USA","United States of America","6","4","2","12","United States of America","lake-placid-1980"
"1765","AUT","Austria","3","2","2","7","Austria","lake-placid-1980"
"1766","SWE","Sweden","3","-","1","4","Sweden","lake-placid-1980"
"1767","LIE","Liechtenstein","2","2","-","4","Liechtenstein","lake-placid-1980"
"1768","FIN","Finland","1","5","3","9","Finland","lake-placid-1980"
"1769","NOR","Norway","1","3","6","10","Norway","lake-placid-1980"
"1770","NED","Netherlands","1","2","1","4","Netherlands","lake-placid-1980"
"1771","SUI","Switzerland","1","1","3","5","Switzerland","lake-placid-1980"
"1772","GBR","Great Britain","1","-","-","1","Great Britain","lake-placid-1980"
"1773","FRG","Federal Republic of Germany","-","2","3","5","Federal Republic of Germany","lake-placid-1980"
"1774","ITA","Italy","-","2","-","2","Italy","lake-placid-1980"
"1775","CAN","Canada","-","1","1","2","Canada","lake-placid-1980"
"1776","HUN","Hungary","-","1","-","1","Hungary","lake-placid-1980"
"1777","JPN","Japan","-","1","-","1","Japan","lake-placid-1980"
"1778","FRA","France","-","-","1","1","France","lake-placid-1980"
"1779","TCH","Czechoslovakia","-","-","1","1","Czechoslovakia","lake-placid-1980"
"1780","BUL","Bulgaria","-","-","1","1","Bulgaria","lake-placid-1980"
"1781","URS","Soviet Union","80","69","46","195","Soviet Union","moscow-1980"
"1782","GDR","German Democratic Republic (Germany)","47","37","42","126","German Democratic Republic (Germany)","moscow-1980"
"1783","BUL","Bulgaria","8","16","17","41","Bulgaria","moscow-1980"
"1784","CUB","Cuba","8","7","5","20","Cuba","moscow-1980"
"1785","ITA","Italy","8","3","4","15","Italy","moscow-1980"
"1786","HUN","Hungary","7","10","15","32","Hungary","moscow-1980"
"1787","ROU","Romania","6","6","13","25","Romania","moscow-1980"
"1788","FRA","France","6","5","3","14","France","moscow-1980"
"1789","GBR","Great Britain","5","7","9","21","Great Britain","moscow-1980"
"1790","POL","Poland","3","14","15","32","Poland","moscow-1980"
"1791","SWE","Sweden","3","3","6","12","Sweden","moscow-1980"
"1792","FIN","Finland","3","1","4","8","Finland","moscow-1980"
"1793","TCH","Czechoslovakia","2","3","9","14","Czechoslovakia","moscow-1980"
"1794","YUG","Yugoslavia","2","3","4","9","Yugoslavia","moscow-1980"
"1795","AUS","Australia","2","2","5","9","Australia","moscow-1980"
"1796","DEN","Denmark","2","1","2","5","Denmark","moscow-1980"
"1797","BRA","Brazil","2","-","2","4","Brazil","moscow-1980"
"1798","ETH","Ethiopia","2","-","2","4","Ethiopia","moscow-1980"
"1799","SUI","Switzerland","2","-","-","2","Switzerland","moscow-1980"
"1800","ESP","Spain","1","3","2","6","Spain","moscow-1980"
"1801","AUT","Austria","1","2","1","4","Austria","moscow-1980"
"1802","GRE","Greece","1","-","2","3","Greece","moscow-1980"
"1803","ZIM","Zimbabwe","1","-","-","1","Zimbabwe","moscow-1980"
"1804","IND","India","1","-","-","1","India","moscow-1980"
"1805","BEL","Belgium","1","-","-","1","Belgium","moscow-1980"
"1806","PRK","Democratic People's Republic of Korea","-","3","2","5","Democratic People's Republic of Korea","moscow-1980"
"1807","MGL","Mongolia","-","2","2","4","Mongolia","moscow-1980"
"1808","TAN","United Republic of Tanzania","-","2","-","2","United Republic of Tanzania","moscow-1980"
"1809","MEX","Mexico","-","1","3","4","Mexico","moscow-1980"
"1810","NED","Netherlands","-","1","2","3","Netherlands","moscow-1980"
"1811","IRL","Ireland","-","1","1","2","Ireland","moscow-1980"
"1812","UGA","Uganda","-","1","-","1","Uganda","moscow-1980"
"1813","VEN","Venezuela","-","1","-","1","Venezuela","moscow-1980"
"1814","JAM","Jamaica","-","-","3","3","Jamaica","moscow-1980"
"1815","GUY","Guyana","-","-","1","1","Guyana","moscow-1980"
"1816","LBN","Lebanon","-","-","1","1","Lebanon","moscow-1980"
"1817","URS","Soviet Union","80","69","46","195","Soviet Union","moscow-1980"
"1818","GDR","German Democratic Republic (Germany)","47","37","42","126","German Democratic Republic (Germany)","moscow-1980"
"1819","BUL","Bulgaria","8","16","17","41","Bulgaria","moscow-1980"
"1820","CUB","Cuba","8","7","5","20","Cuba","moscow-1980"
"1821","ITA","Italy","8","3","4","15","Italy","moscow-1980"
"1822","HUN","Hungary","7","10","15","32","Hungary","moscow-1980"
"1823","ROU","Romania","6","6","13","25","Romania","moscow-1980"
"1824","FRA","France","6","5","3","14","France","moscow-1980"
"1825","GBR","Great Britain","5","7","9","21","Great Britain","moscow-1980"
"1826","POL","Poland","3","14","15","32","Poland","moscow-1980"
"1827","SWE","Sweden","3","3","6","12","Sweden","moscow-1980"
"1828","FIN","Finland","3","1","4","8","Finland","moscow-1980"
"1829","TCH","Czechoslovakia","2","3","9","14","Czechoslovakia","moscow-1980"
"1830","YUG","Yugoslavia","2","3","4","9","Yugoslavia","moscow-1980"
"1831","AUS","Australia","2","2","5","9","Australia","moscow-1980"
"1832","DEN","Denmark","2","1","2","5","Denmark","moscow-1980"
"1833","BRA","Brazil","2","-","2","4","Brazil","moscow-1980"
"1834","ETH","Ethiopia","2","-","2","4","Ethiopia","moscow-1980"
"1835","SUI","Switzerland","2","-","-","2","Switzerland","moscow-1980"
"1836","ESP","Spain","1","3","2","6","Spain","moscow-1980"
"1837","AUT","Austria","1","2","1","4","Austria","moscow-1980"
"1838","GRE","Greece","1","-","2","3","Greece","moscow-1980"
"1839","ZIM","Zimbabwe","1","-","-","1","Zimbabwe","moscow-1980"
"1840","IND","India","1","-","-","1","India","moscow-1980"
"1841","BEL","Belgium","1","-","-","1","Belgium","moscow-1980"
"1842","PRK","Democratic People's Republic of Korea","-","3","2","5","Democratic People's Republic of Korea","moscow-1980"
"1843","MGL","Mongolia","-","2","2","4","Mongolia","moscow-1980"
"1844","TAN","United Republic of Tanzania","-","2","-","2","United Republic of Tanzania","moscow-1980"
"1845","MEX","Mexico","-","1","3","4","Mexico","moscow-1980"
"1846","NED","Netherlands","-","1","2","3","Netherlands","moscow-1980"
"1847","IRL","Ireland","-","1","1","2","Ireland","moscow-1980"
"1848","UGA","Uganda","-","1","-","1","Uganda","moscow-1980"
"1849","VEN","Venezuela","-","1","-","1","Venezuela","moscow-1980"
"1850","JAM","Jamaica","-","-","3","3","Jamaica","moscow-1980"
"1851","GUY","Guyana","-","-","1","1","Guyana","moscow-1980"
"1852","LBN","Lebanon","-","-","1","1","Lebanon","moscow-1980"
"1853","URS","Soviet Union","13","6","8","27","Soviet Union","innsbruck-1976"
"1854","GDR","German Democratic Republic (Germany)","7","5","7","19","German Democratic Republic (Germany)","innsbruck-1976"
"1855","USA","United States of America","3","3","4","10","United States of America","innsbruck-1976"
"1856","NOR","Norway","3","3","1","7","Norway","innsbruck-1976"
"1857","FRG","Federal Republic of Germany","2","5","3","10","Federal Republic of Germany","innsbruck-1976"
"1858","FIN","Finland","2","4","1","7","Finland","innsbruck-1976"
"1859","AUT","Austria","2","2","2","6","Austria","innsbruck-1976"
"1860","SUI","Switzerland","1","3","1","5","Switzerland","innsbruck-1976"
"1861","NED","Netherlands","1","2","3","6","Netherlands","innsbruck-1976"
"1862","ITA","Italy","1","2","1","4","Italy","innsbruck-1976"
"1863","CAN","Canada","1","1","1","3","Canada","innsbruck-1976"
"1864","GBR","Great Britain","1","-","-","1","Great Britain","innsbruck-1976"
"1865","TCH","Czechoslovakia","-","1","-","1","Czechoslovakia","innsbruck-1976"
"1866","SWE","Sweden","-","-","2","2","Sweden","innsbruck-1976"
"1867","LIE","Liechtenstein","-","-","2","2","Liechtenstein","innsbruck-1976"
"1868","FRA","France","-","-","1","1","France","innsbruck-1976"
"1869","URS","Soviet Union","13","6","8","27","Soviet Union","innsbruck-1976"
"1870","GDR","German Democratic Republic (Germany)","7","5","7","19","German Democratic Republic (Germany)","innsbruck-1976"
"1871","USA","United States of America","3","3","4","10","United States of America","innsbruck-1976"
"1872","NOR","Norway","3","3","1","7","Norway","innsbruck-1976"
"1873","FRG","Federal Republic of Germany","2","5","3","10","Federal Republic of Germany","innsbruck-1976"
"1874","FIN","Finland","2","4","1","7","Finland","innsbruck-1976"
"1875","AUT","Austria","2","2","2","6","Austria","innsbruck-1976"
"1876","SUI","Switzerland","1","3","1","5","Switzerland","innsbruck-1976"
"1877","NED","Netherlands","1","2","3","6","Netherlands","innsbruck-1976"
"1878","ITA","Italy","1","2","1","4","Italy","innsbruck-1976"
"1879","CAN","Canada","1","1","1","3","Canada","innsbruck-1976"
"1880","GBR","Great Britain","1","-","-","1","Great Britain","innsbruck-1976"
"1881","TCH","Czechoslovakia","-","1","-","1","Czechoslovakia","innsbruck-1976"
"1882","SWE","Sweden","-","-","2","2","Sweden","innsbruck-1976"
"1883","LIE","Liechtenstein","-","-","2","2","Liechtenstein","innsbruck-1976"
"1884","FRA","France","-","-","1","1","France","innsbruck-1976"
"1885","URS","Soviet Union","49","41","35","125","Soviet Union","montreal-1976"
"1886","GDR","German Democratic Republic (Germany)","40","25","25","90","German Democratic Republic (Germany)","montreal-1976"
"1887","USA","United States of America","34","35","25","94","United States of America","montreal-1976"
"1888","FRG","Federal Republic of Germany","10","12","17","39","Federal Republic of Germany","montreal-1976"
"1889","JPN","Japan","9","6","10","25","Japan","montreal-1976"
"1890","POL","Poland","7","6","13","26","Poland","montreal-1976"
"1891","BUL","Bulgaria","6","9","7","22","Bulgaria","montreal-1976"
"1892","CUB","Cuba","6","4","3","13","Cuba","montreal-1976"
"1893","ROU","Romania","4","9","14","27","Romania","montreal-1976"
"1894","HUN","Hungary","4","5","13","22","Hungary","montreal-1976"
"1895","FIN","Finland","4","2","-","6","Finland","montreal-1976"
"1896","SWE","Sweden","4","1","-","5","Sweden","montreal-1976"
"1897","GBR","Great Britain","3","5","5","13","Great Britain","montreal-1976"
"1898","ITA","Italy","2","7","4","13","Italy","montreal-1976"
"1899","FRA","France","2","3","4","9","France","montreal-1976"
"1900","YUG","Yugoslavia","2","3","3","8","Yugoslavia","montreal-1976"
"1901","TCH","Czechoslovakia","2","2","4","8","Czechoslovakia","montreal-1976"
"1902","NZL","New Zealand","2","1","1","4","New Zealand","montreal-1976"
"1903","KOR","Republic of Korea","1","1","4","6","Republic of Korea","montreal-1976"
"1904","SUI","Switzerland","1","1","2","4","Switzerland","montreal-1976"
"1905","NOR","Norway","1","1","-","2","Norway","montreal-1976"
"1906","PRK","Democratic People's Republic of Korea","1","1","-","2","Democratic People's Republic of Korea","montreal-1976"
"1907","JAM","Jamaica","1","1","-","2","Jamaica","montreal-1976"
"1908","DEN","Denmark","1","-","2","3","Denmark","montreal-1976"
"1909","MEX","Mexico","1","-","1","2","Mexico","montreal-1976"
